symbol,volume_24h
FDUSD,7445245752.256326
BNB,1914554798.3217072
MOC,951186724.445896
USD0,827371831.7671539
CBK,681159357.2036045
AHT,538699834.7643895
TOKAMAK,482016716.69994766
AI16Z,437954792.9294404
BIO,239591927.46194956
NEIRO,219941748.08407596
SWARMS,205956340.67965522
LLM,198468922.2536247
MNT,170799816.20336702
MLK,143911694.45770037
CHZ,138968709.39093044
USDe,129620460.24398156
X,125357180.23187697
FCT,115016646.90133671
ZRO,109852064.25546788
PIPPIN,106959170.03465493
BabyDoge,105273480.26252201
ALCH,90774435.5646721
D,84561708.83554967
SAFE,82537201.646222
GRIFFAIN,80117630.82773706
STRAX,79142127.6855472
AIXBT,75079160.8511048
BTT,64291897.9965834
GAME,63495537.76601643
TEMCO,61764448.96895991
FLOCK,56353411.88791735
BORA,52689332.22807141
BOUNTY,49613655.26841209
F,49403517.52436764
DEGENAI,48129889.63342893
ETHDYDX,42333899.68786655
SXP,42234957.364839
NCT,41671647.15227701
G,39029745.65578084
SERAPH,30335346.24421994
META,29748113.23171793
FWOG,29424841.60927441
TOKEN,26917721.54371736
DOG,26892684.47480932
ANON,25910966.88625404
UFD,23792832.67169371
MAX,22764872.3554372
MED,22501669.57981779
HPO,21339813.33085058
NEUR,19485874.39992015
CHEEMS,18369574.91037136
SNAI,18044812.81563856
YNE,17602799.02085745
REX,17537513.18292968
GRIFT,16164928.75986553
USDB,15147584.51824617
DKA,14145062.25641098
ASM,14128055.46119707
TAOCAT,13405198.7418987
VVAIFU,13191592.93872194
BTR,11759341.1749209
SOLVEX,11665932.61022884
BOA,11351192.35163686
RAI,11221633.50497998
CLANKER,10237213.31439412
MATIC,10010228.91733132
WHY,9237752.84928777
SPEC,8578570.91201388
TAI,8537582.25258175
G3,8236076.19584352
LOFI,8016934.1150305
PEPECOIN,7913394.22840138
GNON,7826393.50570168
LAT,7757289.5251364
FAI,7661943.0549681
SHOGGOTH,7447904.40572486
LMT,7098536.00278874
TRUMP,7057344.29164393
NPC,6895744.7550763
EURI,6632290.70994407
BLY,6400864.85294379
BITCOIN,6386075.86538383
SEN,6324711.75298389
REALIS,6225012.8614284
WOLF,6178130.1765407
MemesAI,6137840.31456678
$AKUMA,6117786.93757866
XAUt,6044979.45397592
HAT,5989993.38645306
AL,5947485.45527442
METAV,5819428.88584181
AXOL,5420130.01150404
ZKJ,5291762.67891273
RETARDIO,5170346.25356919
SRX,5133293.3307136
NEIRO,4990876.11551693
PROPC,4768620.56137594
SIGMA,4683635.04089208
EL,4628832.16170542
lisUSD,4540791.24754018
MUBI,4355393.98903848
NMT,4156764.31205085
SHIRO,4126228.84043418
BIOT,4067405.79593264
OPUS,4042959.67202161
PEPU,3808327.11194436
MVRS,3755165.28015583
BANANAS31,3737012.28222587
SHIBTC,3639782.17224494
BASEDAI,3639067.7854952
POLA,3426202.52486795
ORBT,3286526.0393084
APRS,3244510.22757678
FRIC,3128327.49444495
USDY,3106073.20593481
CHEX,3054102.9985296
MOEW,3012394.67317447
NOS,2965003.39671294
EVAN,2896151.659579
NUB,2840693.46944044
HOPPY,2671076.74504959
$PURPE,2563912.64761655
GRND,2552648.83369708
MUMU,2343487.64595758
TERMINUS,2316365.84414937
MOOMOO,2235433.65508604
AAAHHM,2231176.96188658
MIX,2175186.57778812
ORA,2131415.83785762
SHFL,2027830.78300206
BARSIK,2010954.68054989
FLZ,2001220.33303027
MVC,1964802.61158342
BGSC,1962059.85043088
SPA,1959826.84812849
GEAR,1932962.39502974
BERT,1879061.26547757
ISIKC,1871008.51122012
VADER,1833544.99968717
KARRAT,1832819.52419484
MCOIN,1766044.1370989
JET,1753614.09380965
CHAMP,1747178.21440963
HUND,1734979.19514293
BELLS,1722418.62730485
WILD,1718630.2910385
PUSH,1700963.22125634
PATRIOT,1641572.29220962
RBTC,1637666.57388971
WALLET,1623890.05673286
BORG,1607165.60185736
GHX,1583652.97881756
HASHAI,1559127.55901077
WNCG,1507159.09339494
CKP,1504574.33627723
ROUTE,1499633.15254733
GENE,1496524.2046261
OLAS,1487607.65993976
NEW,1481236.72229499
BRAINLET,1433751.75505024
RSC,1422666.93930305
0x0,1388814.65081967
GPT,1369119.39739918
10SET,1351198.31963904
PROPS,1345471.09494519
GPU,1339632.50555285
APX,1326713.34174928
HEGE,1303369.93589933
GAL,1289334.82354143
ASD,1276831.08817439
AIXCB,1237769.35046844
ICBX,1234704.15907813
SOFI,1204379.65159652
PSTAKE,1193875.47324697
RLB,1191133.03925337
SYLO,1188102.98731001
STRUMP,1171740.88753785
BNC,1169120.74980456
IMGNAI,1139989.13127661
MAD,1131529.14306679
MPL,1128380.88617507
SOLO,1095594.65250237
HONEY,1092483.31203497
DEUSD,1008200.40724966
M87,1003558.94119914
$MONG,1001828.78683202
WELF,957538.25402434
USDL,950214.83508527
DNX,943652.40417009
DOLAN,940989.63955017
LBL,934873.63922002
EURt,929867.91965246
STAT,928783.12965813
FOXSY,927979.8975777
KIBSHI,915675.33263204
MPT,896031.18688458
WOM,854560.75537992
CUMMIES,852710.96535706
EVZ,852107.28193601
AIAT,851649.14199917
BZZ,851365.03980234
MERY,839419.22433275
PUSS,837443.59752894
SIX,831311.9004405
3ULL,823622.52362116
MNTC,811196.84335391
NPT,787282.00706882
USDG,779981.36157209
OBSR,772814.12114403
BKN,772536.67279864
SKR,755721.9418987
MBX,751823.44614718
SHX,749032.65594392
PLI,747423.66986962
DVI,742060.37366423
KEKEC,724849.98741842
BZR,715075.32093304
BIAO,703180.3026184
SKBDI,685332.28131856
HEART,681273.43292141
KUB,671741.22623875
LOBO,671315.10261063
PEPE2.0,670569.69018207
CGO,666053.66094054
NOMNOM,665501.15375839
AZUR,654470.10900791
ARG,652848.02867165
NEURAL,649328.05709374
MEV,639660.77720141
COMAI,634160.48226082
POLIS,627650.13206289
GRACY,624127.51801479
OMAX,621239.34274089
RIZO,612055.25086599
FANC,608480.30913617
XEL,586083.99331674
PUPS,584253.75760482
KLAUS,582093.44731306
SELFIE,581208.38530772
VALOR,580582.57083494
GLEEC,577554.28347916
HOSKY,572694.67295947
TALENT,572605.2940428
GMEE,551612.03239353
BIFI,545527.3238343
PCI,543266.32773753
INV,536564.05905974
SPORE,532305.36052646
HEHE,530484.81709587
SLAP,530239.94582013
REVV,523093.18608543
ORT,520838.39797202
SHPING,520377.62912933
FREYA,514985.48930252
LIME,507645.05888824
SSLX,505490.32242791
WIKEN,502312.46002589
eUSD,497310.59071962
LWA,497141.70483303
PAW,496971.13141858
VSG,496452.1992079
XPLA,490031.59741225
BLENDR,487801.98759458
BOTTO,485197.48039742
OMI,484403.6715854
XRT,458276.30552205
GAL,457625.48813212
PINO,456071.43652941
NPCS,454915.3480214
KUJI,446636.09689882
HOPR,443296.68687161
OMIKAMI,437768.19342272
BFIC,435151.92490909
SPECTRE,432876.96731621
SKEY,430351.23444182
KATA,427322.72167998
AREA,425704.96800732
AURA,422750.2285058
GEL,403686.15493005
TRADE,399353.29093761
INTER,399143.64037673
oGPU,395633.56657233
LKY,391956.89577256
GEOD,390235.6490722
CRU,388110.35172696
PLU,371571.01858395
MLC,369820.79298881
ALEPH,366751.50376665
MOCHI,352855.77559673
SWAP,350072.55222647
KOKO,347747.86899233
DXI,346630.23525896
AZIT,345755.5269864
CRETA,343729.01458238
FX,342115.31533272
VAL,339117.48919474
TRA,337893.0822224
XSGD,333121.15708572
ALL,331914.61704965
AGRI,329966.87020518
LIKE,329046.98155319
IAG,328799.82795669
XRPH,327446.88066696
GALEON,326077.17876726
AVT,323792.81831211
STOS,322783.32915312
AFC,314350.7236358
TAROT,313948.21454092
AIT,312486.07446272
WZRD,311684.62776793
YAFA,306818.79948607
QTCON,303742.56541146
COOK,300383.80007572
DCD,295582.25202881
RAT,290879.27475846
EPIK,288791.48898976
APM,285170.33651658
ALVA,281171.27274847
SQGROW,271536.57462607
MNT,269663.78629409
XWC,267624.70689463
SLIM,264839.53740833
SWORLD,260050.06899396
BXN,258602.55622745
SUGAR,258401.89029397
SHIDO,258364.82569777
QRL,258092.21799374
SURE,257545.76023736
CREDI,253512.02905005
SABAI,249314.41185166
CTP,243120.9109534
HYPC,242822.00728845
ZKML,231835.84385842
LQR,228383.65817328
SHI,222386.22411101
FROG,218742.49705202
ADS,216894.28151391
HAMMY,216032.21214417
IMPT,213579.28256168
NCDT,212493.39986123
DNA,209399.09186032
KIMBO,208016.55998733
VERUM,191793.36413844
HYDRA,189680.91144239
KILT,185840.3710767
MCDULL,184624.44411124
CET,183777.30519803
WOLF,174784.47034864
TOKE,174361.88255447
XEP,173273.78495473
MONA,171964.43626507
GUI,165899.28644493
DFC,157792.17324273
DINGO,155106.65847846
NAP,150122.61412434
KRL,149616.65947725
USDX,148501.94239758
DBC,148162.33911465
AIKEK,145378.60785173
TROG,141358.71118236
POLY,141104.5876027
NEOS,140169.20986896
OSAK,139219.18676908
CONX,137332.85571118
OHO,137069.5158707
SOLCEX,136913.75733246
HI,135426.6663947
SCI,134609.3494586
BTRST,133063.00686186
CAH,132882.05107274
AEUR,131452.71926384
KASTA,131209.76983346
RAKE,129971.94638804
NEXA,129577.62408228
RGOAT,128627.66127668
VCNT,128531.82180097
JOY,127016.73185081
BURN,122885.22278915
KINIC,122384.36096484
CTX,120273.29985667
OCTO,119564.53672881
MIN,117326.71846838
PIT,114236.09484501
ATS,114147.54353821
NTX,113125.70251387
MAN,109439.92782743
RXD,109094.19335213
QUDEFI,103826.19601677
RVF,102403.92915178
BOOP,100925.53659582
BOO,100850.1788511
OZO,100521.7084762
OGY,100238.70099086
TANGO,98589.9059502
BDC,98094.2237886
PAID,97384.81064195
ROG,96874.99347426
FON,95790.50876077
HNS,94554.98525333
LORDS,93217.83361634
KWENTA,91306.3429221
SKAI,91052.95484468
STEP,90866.44503086
LBT,89813.36003093
VCHF,88638.90517161
MOON,88097.24022014
MBS,87868.16551365
PXT,87413.06901904
MNEE,84372.45056332
RYU,82438.91525323
BIM,81844.4987691
CWEB,81213.02678037
TRVL,80237.87253318
PSP,79753.94612791
CSWAP,77157.17596602
EMC,77068.84507085
MENGO,76273.14852816
DLC,73467.56739298
KOGE,72426.85339191
STUFF,69229.14112131
PIB,68775.74571119
BXX,68505.89091445
TORN,68441.15448645
$DRF,67777.13813287
DEXT,66374.40366536
BUY,66125.52750624
GG,61808.4935483
PPC,61803.99002599
TPT,60682.72675239
RBX,60433.49607746
CUBE,59910.18441547
OMNOM,58716.91880273
WHITE,58216.36430232
FLIX,57863.48167564
SAITO,57486.9330552
ABEL,55725.08375652
AURY,55086.53029639
STRD,54906.28125227
EFC,54725.62583433
METAL,54483.82762222
FACT,53585.45980932
TGC,53302.3951524
BASE,51663.64079638
STC,50686.05136298
SLND,48512.26248849
LEDGER,46986.9135207
GLDGOV,44907.49616382
UNCX,43550.49195171
EMRX,43190.85736826
MTRG,42267.48774406
PIKA,41684.99954929
CENNZ,40304.33251402
MGP,40059.90533471
KSP,37877.83008666
WELSH,37245.72204571
ZEON,37049.36337235
TONIC,36315.20131985
BAX,35762.29080223
SOV,35625.02735567
ADS,35249.55176973
EVA,34355.750047
FU,32926.21099471
WOW,32784.6799786
MGC,29280.26010301
CLY,27997.56426654
BYTE,26241.86141758
QDX,25528.156608
KEX,25507.93531619
IDIA,25124.22766742
SCP,23209.29051466
KOMPETE,23068.33152072
KOIN,23046.12938634
REF,22079.18660857
GOGLZ,21336.79496046
JEWEL,20295.13601288
NYA,20098.93489175
NMC,19917.96484036
IDLE,18655.45501508
KEEP,18637.87461284
INDY,18277.35217548
DMD,16599.17299762
WRLD,15997.53572362
BCD,13609.74856898
JESUS,13598.69241839
PIKA,13115.89853206
INTX,12076.19685083
JHH,11657.83373694
BTM,11610.77088912
PDT,11563.67616081
MNGO,11533.65789549
SMOG,11208.3207418
FNCY,10745.89310029
MONOPOLY,10559.04293603
ZUSD,10337.05500565
CUDOS,10125.18116684
GYEN,8904.02094239
INSURANCE,8845.45570323
MCB,8345.86918478
DFG,7776.25227263
WE,7590.29900513
DHT,7459.44531825
WARPED,6808.52754204
SDT,5217.51259098
HDN,4644.1087848
IOT,4641.19163661
EPIC,4512.49273949
AXEL,4294.85291307
MCT,4079.21906381
SN,3897.28868405
USDV,3862.26026064
XCP,3530.27677549
BWB,3477.0386718
GZONE,3213.00121937
COIN,3194.38600009
NEX,2948.29589359
NFTX,2620.54143768
ZNN,2341.1630057
GBYTE,2164.78757813
DEL,2039.09823937
BTC2,1471.79910443
SPC,1260.85320353
WNZ,1166.64189347
EDLC,1042.3694109
RENEC,910.56144394
ZUKI,816.31853863
ICHI,759.41479421
MWC,547.43626818
POOL,545.04293496
NOW,534.51953583
COL,309.24357228
LA,296.45718304
BCN,296.30855936
EPS,290.65097
RAMP,258.43173359
AVINOC,124.41484535
LCC,96.06982329
UNS,51.2991062
EQUAD,30.90514698
TKP,27.05840788
ARIA20,4.6732705
CRPT,3.49474453
ASTA,2.55218255
EFI,0.0
BCA,0.0
vDAI,0.0
PALLA,0.0
vBUSD,0.0
RBW,0.0
CAST,0.0
XNC,0.0
WHITE,0.0
OGV,0.0
RSV,0.0
vLTC,0.0
USDTb,0.0
PUPS,0.0
COLX,0.0
vLINK,0.0
TRIX,0.0
